LDS line név,csoport,terület
DT-081 Csavarozo gep,Csavarozógépek,Automata terület
DT-082 Csavarozo gep,Csavarozógépek,Automata terület
DT-119 P1 Csavarozo gep,Csavarozógépek,Automata terület
DT-129 Power Csavarozo gep,Csavarozógépek,Automata terület
DT-199 Csavarozo gep,Csavarozógépek,Automata terület
DT-200 PLM Csavarozo gep,Csavarozógépek,Automata terület
DTF-001 Csavarozo gep,Csavarozógépek,Automata terület
DTF-002 Csavarozo gep,Csavarozógépek,Automata terület
DT-197 Ariane 0-mozgo automata hegeszto,Automata hegesztőgépek,Automata terület
"DT-217 DPN, Pegaso DPN, Helios Pegaso PN automata magneses hegesztogep",Automata hegesztőgépek,Automata terület
"DT-218 RCBO, Ariane automata magneses hegesztogep",Automata hegesztőgépek,Automata terület
DT-222 N-mozgo automata heg,Automata hegesztőgépek,Automata terület
DTP-002 Power Switch Hegesztogep,Automata hegesztőgépek,Automata terület
DTL-001 Automata fonat kompaktalo (Dupuy),Kompaktálók,Automata terület
DT-220 Automata fonat kompaktalo (Dupuy II.),Kompaktálók,Automata terület
DT-155 IP flap,IP flappezők,Automata terület
DT-162 IP flap,IP flappezők,Automata terület
DT-163 IP flap,IP flappezők,Automata terület
DT-164 Pegaso Mechanikus osszeszerelo,Pegaso mechanikusok,Automata terület
DT-165 Pegaso Mechanikus osszeszerelo,Pegaso mechanikusok,Automata terület
DT-201 PLM OTS doboz eloszerelo gep,Egyéb automata gépek,Automata terület
DT-219 Magneses automata rugozogep,Egyéb automata gépek,Automata terület
DT-221 Vezerlokar osszeszerelo,Egyéb automata gépek,Automata terület
